RAMO,ID_UR,EJERCICIO,TRIMESTRE,INSTITUCION,AUDITORÍAS_REALIZADAS,OBSERVACIONES_DETERMINADAS
11,MGC,2005,20050701/20050930,PEMEX-GAS Y PETROQUIMICA BÁSICA,9,33
11,MGC,2005,20050701/20050930,"PETROQUÍMICA CANGREJERA, S.A. DE C.V.",2,0
11,MGC,2005,20050701/20050930,PEMEX-EXPLORACION Y PRODUCCIÓN,15,55
11,MGC,2005,20050701/20050930,"PETROQUÍMICA TULA, S.A. DE C.V.",2,0
11,MGC,2005,20051001/20051231,PEMEX - PETROQUÍMICA,9,19
11,MGC,2005,20051001/20051231,PEMEX-REFINACION,7,15
11,MGC,2005,20051001/20051231,"PETROQUIMICA COSOLEACAQUE, S.A. DE C.V.",4,5
11,MGC,2005,20051001/20051231,"PETROQUÍMICA PAJARITOS, S.A. DE C.V.",4,11
11,MGC,2005,20051001/20051231,PETROLEOS MEXICANOS.,11,40
11,MGC,2005,20051001/20051231,PEMEX-GAS Y PETROQUIMICA BÁSICA,8,19
11,MGC,2005,20051001/20051231,"PETROQUÍMICA CANGREJERA, S.A. DE C.V.",3,5
11,MGC,2005,20051001/20051231,PATRONATO DE OBRAS E INSTALACIONES DEL INSTITUTO POLITÉCNICO NACIONAL,3,1
11,MGC,2005,20051001/20051231,"PETROQUÍMICA MORELOS, S.A. DE C.V.",3,5
11,MGC,2005,20051001/20051231,PEMEX-EXPLORACION Y PRODUCCIÓN,13,19
11,MGC,2005,20051001/20051231,"PETROQUÍMICA ESCOLÍN, S.A. DE C.V.",2,2
11,MGC,2005,20051001/20051231,"PETROQUÍMICA TULA, S.A. DE C.V.",2,0
11,MGC,2005,20051001/20051231,PEMEX-EXPLORACION Y PRODUCCIÓN,1,0
12,M00,2005,20050401/20050630,COMISIÓN NACIONAL DE ARBITRAJE MÉDICO,2,2
12,M00,2005,20050101/20050331,COMISIÓN NACIONAL DE ARBITRAJE MÉDICO,2,4
12,M00,2005,20050701/20050930,COMISIÓN NACIONAL DE ARBITRAJE MÉDICO,1,0
12,M00,2005,20051001/20051231,COMISIÓN NACIONAL DE ARBITRAJE MÉDICO,2,2
12,M7F,2005,20050401/20050630,"INSTITUTO NACIONAL DE PSIQUIATRÍA ""DR. RAMÓN DE LA FUENTE MUÑIZ""",2,5
12,M7F,2005,20050101/20050331,"INSTITUTO NACIONAL DE PSIQUIATRÍA ""DR. RAMÓN DE LA FUENTE MUÑIZ""",2,9
12,M7F,2005,20050701/20050930,"INSTITUTO NACIONAL DE PSIQUIATRÍA ""DR. RAMÓN DE LA FUENTE MUÑIZ""",1,0
12,M7F,2005,20051001/20051231,"INSTITUTO NACIONAL DE PSIQUIATRÍA ""DR. RAMÓN DE LA FUENTE MUÑIZ""",1,0
12,M7K,2005,20050401/20050630,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",3,23
12,M7K,2005,20050101/20050331,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",4,15
12,M7K,2005,20050701/20050930,"CENTROS DE INTEGRACIÓN JUVENIL, A.C.",1,3
12,NBD,2005,20050401/20050630,"HOSPITAL GENERAL DE MÉXICO ""DR. EDUARDO LICEAGA""",2,3
12,NBD,2005,20050701/20050930,"HOSPITAL GENERAL DE MÉXICO ""DR. EDUARDO LICEAGA""",2,4
12,NBD,2005,20050101/20050331,"HOSPITAL GENERAL DE MÉXICO ""DR. EDUARDO LICEAGA""",1,1
12,NBD,2005,20051001/20051231,"HOSPITAL GENERAL DE MÉXICO ""DR. EDUARDO LICEAGA""",1,4
12,NBG,2005,20050101/20050331,"HOSPITAL INFANTIL DE MÉXICO "" DR. FEDERICO GÓMEZ""",1,7
12,NBG,2005,20050401/20050630,"HOSPITAL INFANTIL DE MÉXICO "" DR. FEDERICO GÓMEZ""",3,19
12,NBG,2005,20050701/20050930,"HOSPITAL INFANTIL DE MÉXICO "" DR. FEDERICO GÓMEZ""",1,3
12,NBG,2005,20051001/20051231,"HOSPITAL INFANTIL DE MÉXICO "" DR. FEDERICO GÓMEZ""",2,11
12,NBT,2005,20050401/20050630,"I.I.I. SERVICIOS, S.A. DE C.V.",4,58
12,NBT,2005,20050701/20050930,"I.I.I. SERVICIOS, S.A. DE C.V.",1,4
12,NBT,2005,20050101/20050331,"I.I.I. SERVICIOS, S.A. DE C.V.",2,3
12,NBT,2005,20051001/20051231,"I.I.I. SERVICIOS, S.A. DE C.V.",2,8
12,NBV,2005,20050401/20050630,INSTITUTO NACIONAL DE CANCEROLOGÍA,2,8
12,NBV,2005,20050701/20050930,INSTITUTO NACIONAL DE CANCEROLOGÍA,2,8
12,NBV,2005,20050101/20050331,INSTITUTO NACIONAL DE CANCEROLOGÍA,1,6
12,NBV,2005,20051001/20051231,INSTITUTO NACIONAL DE CANCEROLOGÍA,1,3
12,NCK,2005,20050401/20050630,"INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA ""DR. MANUEL VELASCO SUÁREZ""",2,6
12,NCK,2005,20050101/20050331,"INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA ""DR. MANUEL VELASCO SUÁREZ""",1,2
12,NCK,2005,20050701/20050930,"INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA ""DR. MANUEL VELASCO SUÁREZ""",2,0
12,NCK,2005,20051001/20051231,"INSTITUTO NACIONAL DE NEUROLOGÍA Y NEUROCIRUGÍA ""DR. MANUEL VELASCO SUÁREZ""",2,1
12,NCZ,2005,20050401/20050630,INSTITUTO NACIONAL DE PEDIATRÍA,2,4
12,NCZ,2005,20050701/20050930,INSTITUTO NACIONAL DE PEDIATRÍA,1,0
12,NCZ,2005,20050101/20050331,INSTITUTO NACIONAL DE PEDIATRÍA,1,1
12,NCZ,2005,20051001/20051231,INSTITUTO NACIONAL DE PEDIATRÍA,1,3
12,NDE,2005,20050401/20050630,"INSTITUTO NACIONAL DE PERINATOLOGÍA ""ISIDRO ESPINOSA DE LOS REYES""",3,1
12,NDE,2005,20050101/20050331,"INSTITUTO NACIONAL DE PERINATOLOGÍA ""ISIDRO ESPINOSA DE LOS REYES""",3,2
12,NDE,2005,20050701/20050930,"INSTITUTO NACIONAL DE PERINATOLOGÍA ""ISIDRO ESPINOSA DE LOS REYES""",3,3
12,NDE,2005,20051001/20051231,"INSTITUTO NACIONAL DE PERINATOLOGÍA ""ISIDRO ESPINOSA DE LOS REYES""",2,2
12,NDY,2005,20050401/20050630,INSTITUTO NACIONAL DE SALUD PÚBLICA,2,8
12,NDY,2005,20050701/20050930,INSTITUTO NACIONAL DE SALUD PÚBLICA,1,4
12,NDY,2005,20050101/20050331,INSTITUTO NACIONAL DE SALUD PÚBLICA,1,2
12,NEF,2005,20050401/20050630,"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",3,0
12,NEF,2005,20050701/20050930,"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",1,0
12,NEF,2005,20050101/20050331,"LABORATORIOS DE BIOLÓGICOS Y REACTIVOS DE MÉXICO, S.A. DE C.V.",3,1
14,P7R,2005,20050401/20050630,INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,6,13
14,P7R,2005,20050401/20050630,INSTITUTO FEDERAL DE ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS,1,1
14,P7R,2005,20050701/20050930,INSTITUTO FEDERAL DE ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS,1,7
14,P7R,2005,20050101/20050331,INSTITUTO FEDERAL DE ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS,1,9
14,P7R,2005,20050101/20050331,INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,5,24
14,P7R,2005,20050701/20050930,INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,6,30
14,P7R,2005,20051001/20051231,INSTITUTO DEL FONDO NACIONAL PARA EL CONSUMO DE LOS TRABAJADORES,5,16
14,P7R,2005,20051001/20051231,INSTITUTO FEDERAL DE ACCESO A LA INFORMACIÓN Y PROTECCIÓN DE DATOS,1,1
15,B00,2005,20050401/20050630,REGISTRO AGRARIO NACIONAL,5,22
15,B00,2005,20050101/20050331,REGISTRO AGRARIO NACIONAL,3,17
15,B00,2005,20050701/20050930,REGISTRO AGRARIO NACIONAL,3,22
15,B00,2005,20051001/20051231,REGISTRO AGRARIO NACIONAL,2,12
15,QDV,2005,20050401/20050630,INSTITUTO NACIONAL DEL SUELO SUSTENTABLE,3,27
15,QDV,2005,20050701/20050930,INSTITUTO NACIONAL DEL SUELO SUSTENTABLE,4,24
15,QDV,2005,20050101/20050331,INSTITUTO NACIONAL DEL SUELO SUSTENTABLE,3,16
15,QDV,2005,20051001/20051231,INSTITUTO NACIONAL DEL SUELO SUSTENTABLE,3,4
15,QEU,2005,20050401/20050630,FIDEICOMISO FONDO NACIONAL DE FOMENTO EJIDAL,2,0
15,QEU,2005,20050701/20050930,FIDEICOMISO FONDO NACIONAL DE FOMENTO EJIDAL,3,6
15,QEU,2005,20050101/20050331,FIDEICOMISO FONDO NACIONAL DE FOMENTO EJIDAL,2,2
15,QEU,2005,20051001/20051231,FIDEICOMISO FONDO NACIONAL DE FOMENTO EJIDAL,2,4
15,QEZ,2005,20050401/20050630,PROCURADURÍA AGRARIA,8,5
15,QEZ,2005,20050701/20050930,PROCURADURÍA AGRARIA,6,7
15,QEZ,2005,20050101/20050331,PROCURADURÍA AGRARIA,4,8
15,QIQ,2005,20050401/20050630,"FINANCIERA NACIONAL AZUCARERA, S.N.C.",1,1
15,QIQ,2005,20050101/20050331,"FINANCIERA NACIONAL AZUCARERA, S.N.C.",1,6
15,QIQ,2005,20050101/20050331,FIDEICOMISO LIQUIDADOR DE INSTITUCIONES Y ORGANIZACIONES AUXILIARES DE CRÉDITO,1,1
15,QIQ,2005,20050401/20050630,FIDEICOMISO LIQUIDADOR DE INSTITUCIONES Y ORGANIZACIONES AUXILIARES DE CRÉDITO,1,0
15,QIQ,2005,20050701/20050930,FIDEICOMISO LIQUIDADOR DE INSTITUCIONES Y ORGANIZACIONES AUXILIARES DE CRÉDITO,1,0
15,QIQ,2005,20050701/20050930,"FINANCIERA NACIONAL AZUCARERA, S.N.C.",1,3
15,QIQ,2005,20051001/20051231,FIDEICOMISO LIQUIDADOR DE INSTITUCIONES Y ORGANIZACIONES AUXILIARES DE CRÉDITO,1,1
15,QIQ,2005,20051001/20051231,"FINANCIERA NACIONAL AZUCARERA, S.N.C.",1,1
16,RJE,2005,20050401/20050630,INSTITUTO MEXICANO DE TECNOLOGÍA DEL AGUA,1,4
16,RJE,2005,20050101/20050331,INSTITUTO MEXICANO DE TECNOLOGÍA DEL AGUA,2,10
16,RJE,2005,20050701/20050930,INSTITUTO MEXICANO DE TECNOLOGÍA DEL AGUA,3,7
16,RJE,2005,20051001/20051231,INSTITUTO MEXICANO DE TECNOLOGÍA DEL AGUA,1,4
17,100,2005,20050401/20050630,"PRODUCTORA DE COSPELES, S.A. DE C.V.",2,9
17,100,2005,20050101/20050331,"PRODUCTORA DE COSPELES, S.A. DE C.V.",2,3
17,100,2005,20050101/20050331,PROCURADURIA GENERAL DE LA REPUBLICA (PGR),6,51
17,100,2005,20050401/20050630,PROCURADURIA GENERAL DE LA REPUBLICA (PGR),10,80
17,100,2005,20050701/20050930,"PRODUCTORA DE COSPELES, S.A. DE C.V.",2,4
17,100,2005,20050701/20050930,PROCURADURIA GENERAL DE LA REPUBLICA (PGR),9,79
17,100,2005,20051001/20051231,PROCURADURIA GENERAL DE LA REPUBLICA (PGR),15,74
17,100,2005,20051001/20051231,"PRODUCTORA DE COSPELES, S.A. DE C.V.",2,2
18,C00,2005,20050401/20050630,COMISION REGULADORA DE ENERGIA,2,2
18,C00,2005,20050701/20050930,COMISION REGULADORA DE ENERGIA,2,0
18,C00,2005,20050101/20050331,COMISION REGULADORA DE ENERGIA,2,1
18,C00,2005,20051001/20051231,COMISION REGULADORA DE ENERGIA,2,0
18,T0O,2005,20050401/20050630,INSTITUTO MEXICANO DEL PETRÓLEO,5,10
18,T0O,2005,20050101/20050331,INSTITUTO MEXICANO DEL PETRÓLEO,9,20
18,T0O,2005,20050701/20050930,INSTITUTO MEXICANO DEL PETRÓLEO,7,13
18,T0O,2005,20051001/20051231,INSTITUTO MEXICANO DEL PETRÓLEO,8,14
18,TQA,2005,20050101/20050331,"COMPAÑÍA MEXICANA DE EXPLORACIONES, S.A. DE C.V.",1,10
18,TQA,2005,20050701/20050930,"COMPAÑÍA MEXICANA DE EXPLORACIONES, S.A. DE C.V.",3,10
18,TQA,2005,20051001/20051231,"COMPAÑÍA MEXICANA DE EXPLORACIONES, S.A. DE C.V.",6,30
19,GYN,2005,20050401/20050630,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,12,46
19,GYN,2005,20050701/20050930,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,10,23
19,GYN,2005,20050101/20050331,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,8,53
19,GYN,2005,20051001/20051231,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,9,25
19,GYR,2005,20050401/20050630,INSTITUTO MEXICANO DEL SEGURO SOCIAL,16,156
19,GYR,2005,20050101/20050331,INSTITUTO MEXICANO DEL SEGURO SOCIAL,12,109
19,GYR,2005,20050701/20050930,INSTITUTO MEXICANO DEL SEGURO SOCIAL,11,105
19,GYR,2005,20051001/20051231,INSTITUTO MEXICANO DEL SEGURO SOCIAL,8,125
19,HC6,2005,20050401/20050630,FONDO DE LA VIVIENDA DEL ISSSTE,2,7
19,HC6,2005,20050701/20050930,FONDO DE LA VIVIENDA DEL ISSSTE,2,14
19,HC6,2005,20050101/20050331,FONDO DE LA VIVIENDA DEL ISSSTE,2,6
19,HC6,2005,20051001/20051231,FONDO DE LA VIVIENDA DEL ISSSTE,3,9
20,0,2005,20050401/20050630,SECRETARIA DE DESARROLLO SOCIAL,10,21
20,0,2005,20050701/20050930,SECRETARIA DE DESARROLLO SOCIAL,9,34
20,0,2005,20050101/20050331,SECRETARIA DE DESARROLLO SOCIAL,8,20
20,0,2005,20051001/20051231,SECRETARIA DE DESARROLLO SOCIAL,8,13
20,L00,2005,20050401/20050630,INSTITUTO NACIONAL DE CIENCIAS PENALES,2,40
20,L00,2005,20050401/20050630,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,3,12
20,L00,2005,20050401/20050630,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRÍCOLAS Y PECUARI AS",4,48
20,L00,2005,20050401/20050630,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS "" ISMAEL COSÍO VILLEGAS""",2,2
20,L00,2005,20050401/20050630,"INSTITUTO NACIONAL DE CARDIOLOGÍA ""IGNACIO CHÁVEZ""",2,0
20,L00,2005,20050701/20050930,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRÍCOLAS Y PECUARI AS",1,8
20,L00,2005,20050701/20050930,INSTITUTO NACIONAL DE CIENCIAS PENALES,1,6
20,L00,2005,20050101/20050331,"INSTITUTO NACIONAL DE ESTADÍSTICA, GEOGRAFÍA E INFORMÁTICA",12,29
20,L00,2005,20050101/20050331,INSTITUTO NACIONAL DE CIENCIAS PENALES,1,0
20,L00,2005,20050101/20050331,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRÍCOLAS Y PECUARI AS",2,18
20,L00,2005,20050101/20050331,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS "" ISMAEL COSÍO VILLEGAS""",2,9
20,L00,2005,20050101/20050331,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN ""SALVADOR ZUBIRÁN""",2,2
20,L00,2005,20050101/20050331,"INSTITUTO NACIONAL DE CARDIOLOGÍA ""IGNACIO CHÁVEZ""",2,1
20,L00,2005,20050101/20050331,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,4,10
20,L00,2005,20050401/20050630,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN ""SALVADOR ZUBIRÁN""",3,5
20,L00,2005,20050401/20050630,"INSTITUTO NACIONAL DE ESTADÍSTICA, GEOGRAFÍA E INFORMÁTICA",7,6
20,L00,2005,20050701/20050930,"INSTITUTO NACIONAL DE ESTADÍSTICA, GEOGRAFÍA E INFORMÁTICA",9,6
20,L00,2005,20050701/20050930,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,3,5
20,L00,2005,20050701/20050930,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS "" ISMAEL COSÍO VILLEGAS""",3,4
20,L00,2005,20050701/20050930,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN ""SALVADOR ZUBIRÁN""",3,0
20,L00,2005,20050701/20050930,"INSTITUTO NACIONAL DE CARDIOLOGÍA ""IGNACIO CHÁVEZ""",1,0
20,L00,2005,20051001/20051231,INSTITUTO NACIONAL DE CIENCIAS PENALES,3,3
20,L00,2005,20051001/20051231,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRÍCOLAS Y PECUARI AS",1,3
20,L00,2005,20051001/20051231,"INSTITUTO NACIONAL DE ENFERMEDADES RESPIRATORIAS "" ISMAEL COSÍO VILLEGAS""",2,3
20,L00,2005,20051001/20051231,"INSTITUTO NACIONAL DE ESTADÍSTICA, GEOGRAFÍA E INFORMÁTICA",7,1
20,L00,2005,20051001/20051231,"INSTITUTO NACIONAL DE CARDIOLOGÍA ""IGNACIO CHÁVEZ""",1,1
20,L00,2005,20051001/20051231,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,3,11
20,L00,2005,20051001/20051231,"INSTITUTO NACIONAL DE CIENCIAS MÉDICAS Y NUTRICIÓN ""SALVADOR ZUBIRÁN""",1,0
20,V3A,2005,20050401/20050630,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,1,1
20,V3A,2005,20050701/20050930,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,3,12
20,V3A,2005,20050101/20050331,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,2,5
20,V3A,2005,20051001/20051231,INSTITUTO NACIONAL DE LAS PERSONAS ADULTAS MAYORES,1,3
20,VSS,2005,20050401/20050630,"DICONSA, S.A. DE C.V.",3,29
20,VSS,2005,20050101/20050331,"DICONSA, S.A. DE C.V.",2,15
20,VSS,2005,20050701/20050930,"DICONSA, S.A. DE C.V.",3,24
20,VSS,2005,20051001/20051231,"DICONSA, S.A. DE C.V.",3,22
20,VST,2005,20050401/20050630,"LICONSA, S.A. DE C.V.",4,6
20,VST,2005,20050101/20050331,"LICONSA, S.A. DE C.V.",4,11
20,VST,2005,20050701/20050930,"LICONSA, S.A. DE C.V.",3,7
20,VST,2005,20051001/20051231,"LICONSA, S.A. DE C.V.",2,7
20,VUY,2005,20050401/20050630,INSTITUTO MEXICANO DE LA JUVENTUD,1,5
20,VUY,2005,20050701/20050930,INSTITUTO MEXICANO DE LA JUVENTUD,1,12
20,VUY,2005,20050101/20050331,INSTITUTO MEXICANO DE LA JUVENTUD,1,1
20,VUY,2005,20051001/20051231,INSTITUTO MEXICANO DE LA JUVENTUD,1,3
20,VZG,2005,20050401/20050630,FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,2,8
20,VZG,2005,20050401/20050630,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",2,12
20,VZG,2005,20050701/20050930,FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,2,2
20,VZG,2005,20050101/20050331,FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,2,8
20,VZG,2005,20050101/20050331,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",2,9
20,VZG,2005,20050701/20050930,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",2,7
20,VZG,2005,20051001/20051231,FONDO NACIONAL PARA EL FOMENTO DE LAS ARTESANÍAS,1,1
20,VZG,2005,20051001/20051231,"HOSPITAL GENERAL ""DR. MANUEL GEA GONZÁLEZ""",2,7
21,W3J,2005,20050401/20050630,"CONSEJO DE PROMOCIÓN TURÍSTICA DE MÉXICO, S.A. DE C.V.",1,6
21,W3J,2005,20050101/20050331,"CONSEJO DE PROMOCIÓN TURÍSTICA DE MÉXICO, S.A. DE C.V.",1,3
21,W3J,2005,20050701/20050930,"CONSEJO DE PROMOCIÓN TURÍSTICA DE MÉXICO, S.A. DE C.V.",3,35
21,W3J,2005,20051001/20051231,"CONSEJO DE PROMOCIÓN TURÍSTICA DE MÉXICO, S.A. DE C.V.",1,6
21,W3N,2005,20050401/20050630,FONDO NACIONAL DE FOMENTO AL TURISMO,13,39
21,W3N,2005,20050101/20050331,FONDO NACIONAL DE FOMENTO AL TURISMO,8,29
21,W3N,2005,20050701/20050930,FONDO NACIONAL DE FOMENTO AL TURISMO,11,24
21,W3N,2005,20051001/20051231,FONDO NACIONAL DE FOMENTO AL TURISMO,7,18
25,C00,2005,20050401/20050630,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE PUERTO MADERO, S.A. DE C.V.",1,4
25,C00,2005,20050701/20050930,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE PUERTO MADERO, S.A. DE C.V.",1,4
25,C00,2005,20050101/20050331,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE PUERTO MADERO, S.A. DE C.V.",1,0
25,C00,2005,20050101/20050331,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE DOS BOCAS, S.A. DE C.V.",2,4
25,C00,2005,20050701/20050930,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE DOS BOCAS, S.A. DE C.V.",2,4
25,C00,2005,20051001/20051231,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE PUERTO MADERO, S.A. DE C.V.",1,0
25,C00,2005,20051001/20051231,"ADMINISTRACIÓN PORTUARIA INTEGRAL DE DOS BOCAS, S.A. DE C.V.",2,4
37,100,2005,20050401/20050630,CONSEJERÍA JURÍDICA DEL EJECUTIVO FEDERAL,3,2
37,100,2005,20050101/20050331,CONSEJERÍA JURÍDICA DEL EJECUTIVO FEDERAL,3,6
37,100,2005,20050701/20050930,CONSEJERÍA JURÍDICA DEL EJECUTIVO FEDERAL,1,2
37,100,2005,20051001/20051231,CONSEJERÍA JURÍDICA DEL EJECUTIVO FEDERAL,1,2
38,90G,2005,20050101/20050331,"CIATEC, A.C. Centro de Innovación Aplicada en Tecnologías Competitivas",2,9
38,90G,2005,20051001/20051231,"CIATEC, A.C. Centro de Innovación Aplicada en Tecnologías Competitivas",1,0
38,90O,2005,20050401/20050630,"CENTRO DE INVESTIGACIONES BIOLÓGICAS DEL NOROESTE, S.C.",4,5
38,90O,2005,20050701/20050930,"CENTRO DE INVESTIGACIONES BIOLÓGICAS DEL NOROESTE, S.C.",2,4
38,90O,2005,20050101/20050331,"CENTRO DE INVESTIGACIONES BIOLÓGICAS DEL NOROESTE, S.C.",3,7
38,90O,2005,20051001/20051231,"CENTRO DE INVESTIGACIONES BIOLÓGICAS DEL NOROESTE, S.C.",2,7
38,90S,2005,20050401/20050630,"CENTRO DE INVESTIGACIONES EN ÓPTICA, A.C.",2,7
38,90S,2005,20050101/20050331,"CENTRO DE INVESTIGACIONES EN ÓPTICA, A.C.",1,6
38,90S,2005,20050701/20050930,"CENTRO DE INVESTIGACIONES EN ÓPTICA, A.C.",2,15
38,90S,2005,20051001/20051231,"CENTRO DE INVESTIGACIONES EN ÓPTICA, A.C.",2,2
38,90W,2005,20050401/20050630,CENTRO NACIONAL DE METROLOGÍA,2,5
38,90W,2005,20050101/20050331,CENTRO NACIONAL DE METROLOGÍA,2,5
38,90W,2005,20050701/20050930,CENTRO NACIONAL DE METROLOGÍA,2,6
38,90W,2005,20051001/20051231,CENTRO NACIONAL DE METROLOGÍA,2,2
38,90X,2005,20050401/20050630,CONSEJO NACIONAL DE FOMENTO EDUCATIVO,6,12
38,90X,2005,20050401/20050630,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGÍA,10,5
38,90X,2005,20050701/20050930,CONSEJO NACIONAL DE FOMENTO EDUCATIVO,4,6
38,90X,2005,20050101/20050331,CONSEJO NACIONAL DE FOMENTO EDUCATIVO,3,4
38,90X,2005,20050101/20050331,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGÍA,10,8
38,90X,2005,20050701/20050930,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGÍA,10,2
38,90X,2005,20051001/20051231,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGÍA,5,1
38,90X,2005,20051001/20051231,CONSEJO NACIONAL DE FOMENTO EDUCATIVO,4,10
38,90Y,2005,20050101/20050331,"CIATEQ, A.C. Centro de Tecnología Avanzada",3,6
38,90Y,2005,20050401/20050630,"CIATEQ, A.C. Centro de Tecnología Avanzada",1,2
38,90Y,2005,20050701/20050930,"CIATEQ, A.C. Centro de Tecnología Avanzada",3,10
38,90Y,2005,20051001/20051231,"CIATEQ, A.C. Centro de Tecnología Avanzada",2,13
38,91A,2005,20050401/20050630,"CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES, S.A. DE C.V.",4,1
38,91A,2005,20050101/20050331,"CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES, S.A. DE C.V.",2,2
38,91A,2005,20050701/20050930,"CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES, S.A. DE C.V.",2,0
38,91A,2005,20051001/20051231,"CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES, S.A. DE C.V.",2,0
38,91C,2005,20050401/20050630,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",1,3
38,91C,2005,20050701/20050930,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",1,4
38,91C,2005,20050101/20050331,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",1,2
38,91C,2005,20051001/20051231,"EL COLEGIO DE LA FRONTERA NORTE, A.C.",1,2
38,91E,2005,20050401/20050630,EL COLEGIO DE LA FRONTERA SUR,2,1
38,91E,2005,20050101/20050331,EL COLEGIO DE LA FRONTERA SUR,3,1
38,91E,2005,20050701/20050930,EL COLEGIO DE LA FRONTERA SUR,2,0
38,91E,2005,20051001/20051231,EL COLEGIO DE LA FRONTERA SUR,4,1
38,91I,2005,20050401/20050630,"EL COLEGIO DE MICHOACÁN, A.C.",2,5
38,91I,2005,20050701/20050930,"EL COLEGIO DE MICHOACÁN, A.C.",2,1
38,91I,2005,20050101/20050331,"EL COLEGIO DE MICHOACÁN, A.C.",3,3
38,91I,2005,20051001/20051231,"EL COLEGIO DE MICHOACÁN, A.C.",3,2
38,91M,2005,20050401/20050630,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,1,3
38,91M,2005,20050101/20050331,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,1,3
38,91M,2005,20050701/20050930,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,1,4
38,91M,2005,20051001/20051231,INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación,1,4
38,91Q,2005,20050101/20050331,"INSTITUTO DE ECOLOGÍA, A.C.",3,8
